algorithm,pBug,pValid,times,index,precision_avg,recall_avg,steps,tests_avg,files_avg,bugged_avg,initials,tests
uniform,0,0,10,0,0.63,0.63,9.0,11.0,14,1,2.0,11.0
uniform,0,0,10,1,0.57,0.57,9.0,11.0,20,1,2.0,11.0
uniform,0,0,10,2,0,0,0,0,14,1,0,0
uniform,0,0,10,3,0,0,0,0,9,2,0,0
uniform,0,0,10,4,0.1,0.1,9.0,11.0,26,2,2.0,11.0
uniform,0,0,10,5,0,0,0,0,8,1,0,0
uniform,0,0,10,6,0,0,0,0,12,2,0,0
uniform,0,0,10,7,0,0,0,0,7,1,0,0
uniform,0,0,10,8,0.69,0.69,9.0,11.0,7,1,2.0,11.0
uniform,0,0,10,9,0.105,0.105,9.0,11.0,21,2,2.0,11.0
uniform,0,0,10,10,0,0,0,0,13,1,0,0
uniform,0,0,10,11,0.45,0.45,9.0,11.0,13,1,2.0,11.0
uniform,0,0,10,12,0,0,0,0,3,1,0,0
uniform,0,0,10,13,0.5,0.5,8.0,10.0,8,1,2.0,10.0
uniform,0,0,10,14,0.15,0.15,2.0,4.0,4,1,2.0,4.0
uniform,0,0,10,15,0.08,0.08,5.0,7.0,19,1,2.0,7.0
uniform,0,0,10,16,0,0,0,0,9,2,0,0
uniform,0,0,10,17,0.69,0.69,7.0,9.0,8,1,2.0,9.0
uniform,0,0,10,18,0,0,0,0,12,1,0,0
uniform,0,0,10,19,0.555,0.555,8.0,10.0,9,2,2.0,10.0
randomForest,0,0,10,0,0,0,0,0,14,1,0,0
randomForest,0,0,10,1,0,0,0,0,20,1,0,0
randomForest,0,0,10,2,0,0,0,0,14,1,0,0
randomForest,0,0,10,3,0,0,0,0,9,2,0,0
randomForest,0,0,10,4,0,0,0,0,26,2,0,0
randomForest,0,0,10,5,0,0,0,0,8,1,0,0
randomForest,0,0,10,6,0,0,0,0,12,2,0,0
randomForest,0,0,10,7,0,0,0,0,7,1,0,0
randomForest,0,0,10,8,0.05,0.05,9.0,11.0,7,1,2.0,11.0
randomForest,0,0,10,9,0.6,0.6,9.0,11.0,21,2,2.0,11.0
randomForest,0,0,10,10,0,0,0,0,13,1,0,0
randomForest,0,0,10,11,0.14,0.14,9.0,11.0,13,1,2.0,11.0
randomForest,0,0,10,12,0,0,0,0,3,1,0,0
randomForest,0,0,10,13,0.66,0.66,8.0,10.0,8,1,2.0,10.0
randomForest,0,0,10,14,0,0,0,0,4,1,0,0
randomForest,0,0,10,15,0.3,0.3,5.0,7.0,19,1,2.0,7.0
randomForest,0,0,10,16,0,0,0,0,9,2,0,0
randomForest,0,0,10,17,0,0,0,0,8,1,0,0
randomForest,0,0,10,18,0,0,0,0,12,1,0,0
randomForest,0,0,10,19,0.375,0.375,8.0,10.0,9,2,2.0,10.0
0.0,0.6,0.0,10,0,0,0,0,0,14,1,0,0
0.0,0.6,0.0,10,1,0,0,0,0,20,1,0,0
0.0,0.6,0.0,10,2,0,0,0,0,14,1,0,0
0.0,0.6,0.0,10,3,0,0,0,0,9,2,0,0
0.0,0.6,0.0,10,4,0,0,0,0,26,2,0,0
0.0,0.6,0.0,10,5,0,0,0,0,8,1,0,0
0.0,0.6,0.0,10,6,0,0,0,0,12,2,0,0
0.0,0.6,0.0,10,7,0,0,0,0,7,1,0,0
0.0,0.6,0.0,10,8,0,0,0,0,7,1,0,0
0.0,0.6,0.0,10,9,0,0,0,0,21,2,0,0
0.0,0.6,0.0,10,10,0,0,0,0,13,1,0,0
0.0,0.6,0.0,10,11,0,0,0,0,13,1,0,0
0.0,0.6,0.0,10,12,0,0,0,0,3,1,0,0
0.0,0.6,0.0,10,13,0,0,0,0,8,1,0,0
0.0,0.6,0.0,10,14,0,0,0,0,4,1,0,0
0.0,0.6,0.0,10,15,0,0,0,0,19,1,0,0
0.0,0.6,0.0,10,16,0,0,0,0,9,2,0,0
0.0,0.6,0.0,10,17,0,0,0,0,8,1,0,0
0.0,0.6,0.0,10,18,0,0,0,0,12,1,0,0
0.0,0.6,0.0,10,19,0,0,0,0,9,2,0,0
0.1,0.6,0.1,10,0,0,0,0,0,14,1,0,0
0.1,0.6,0.1,10,1,0,0,0,0,20,1,0,0
0.1,0.6,0.1,10,2,0,0,0,0,14,1,0,0
0.1,0.6,0.1,10,3,0,0,0,0,9,2,0,0
0.1,0.6,0.1,10,4,0.71,0.71,9.0,11.0,26,2,2.0,11.0
0.1,0.6,0.1,10,5,0,0,0,0,8,1,0,0
0.1,0.6,0.1,10,6,0,0,0,0,12,2,0,0
0.1,0.6,0.1,10,7,0,0,0,0,7,1,0,0
0.1,0.6,0.1,10,8,0,0,0,0,7,1,0,0
0.1,0.6,0.1,10,9,0.66,0.66,9.0,11.0,21,2,2.0,11.0
0.1,0.6,0.1,10,10,0,0,0,0,13,1,0,0
0.1,0.6,0.1,10,11,0,0,0,0,13,1,0,0
0.1,0.6,0.1,10,12,0,0,0,0,3,1,0,0
0.1,0.6,0.1,10,13,0,0,0,0,8,1,0,0
0.1,0.6,0.1,10,14,0,0,0,0,4,1,0,0
0.1,0.6,0.1,10,15,0.31,0.31,5.0,7.0,19,1,2.0,7.0
0.1,0.6,0.1,10,16,0,0,0,0,9,2,0,0
0.1,0.6,0.1,10,17,0,0,0,0,8,1,0,0
0.1,0.6,0.1,10,18,0,0,0,0,12,1,0,0
0.1,0.6,0.1,10,19,0,0,0,0,9,2,0,0
0.2,0.6,0.2,10,0,0,0,0,0,14,1,0,0
0.2,0.6,0.2,10,1,0,0,0,0,20,1,0,0
0.2,0.6,0.2,10,2,0,0,0,0,14,1,0,0
0.2,0.6,0.2,10,3,0,0,0,0,9,2,0,0
0.2,0.6,0.2,10,4,0.485,0.485,9.0,11.0,26,2,2.0,11.0
0.2,0.6,0.2,10,5,0,0,0,0,8,1,0,0
0.2,0.6,0.2,10,6,0,0,0,0,12,2,0,0
0.2,0.6,0.2,10,7,0,0,0,0,7,1,0,0
0.2,0.6,0.2,10,8,0,0,0,0,7,1,0,0
0.2,0.6,0.2,10,9,0.52,0.52,9.0,11.0,21,2,2.0,11.0
0.2,0.6,0.2,10,10,0,0,0,0,13,1,0,0
0.2,0.6,0.2,10,11,0.61,0.61,9.0,11.0,13,1,2.0,11.0
0.2,0.6,0.2,10,12,0,0,0,0,3,1,0,0
0.2,0.6,0.2,10,13,0,0,0,0,8,1,0,0
0.2,0.6,0.2,10,14,0.34,0.34,2.0,4.0,4,1,2.0,4.0
0.2,0.6,0.2,10,15,0.19,0.19,5.0,7.0,19,1,2.0,7.0
0.2,0.6,0.2,10,16,0,0,0,0,9,2,0,0
0.2,0.6,0.2,10,17,0,0,0,0,8,1,0,0
0.2,0.6,0.2,10,18,0,0,0,0,12,1,0,0
0.2,0.6,0.2,10,19,0,0,0,0,9,2,0,0
uniform,0,0,20,0,0.24,0.24,17.0,21.0,17,1,4.0,21.0
uniform,0,0,20,1,0,0,0,0,28,1,0,0
uniform,0,0,20,2,0,0,0,0,28,2,0,0
uniform,0,0,20,3,0.715,0.715,17.0,21.0,10,2,4.0,21.0
uniform,0,0,20,4,0.108333333333,0.11,17.0,21.0,34,2,4.0,21.0
uniform,0,0,20,5,0,0,0,0,11,1,0,0
uniform,0,0,20,6,0.37,0.185,16.0,20.0,15,2,4.0,20.0
uniform,0,0,20,7,0.128333333333,0.13,15.0,19.0,17,2,4.0,19.0
uniform,0,0,20,8,0.41,0.41,17.0,21.0,20,2,4.0,21.0
uniform,0,0,20,9,0.245,0.183333333333,17.0,21.0,38,3,4.0,21.0
uniform,0,0,20,10,0,0,0,0,20,2,0,0
uniform,0,0,20,11,0.52,0.52,10.0,14.0,13,1,4.0,14.0
uniform,0,0,20,12,0,0,0,0,7,2,0,0
uniform,0,0,20,13,0.52,0.52,16.0,19.0,9,1,3.0,19.0
uniform,0,0,20,14,0.17,0.17,7.0,10.0,6,1,3.0,10.0
uniform,0,0,20,15,0.27,0.27,17.0,21.0,40,2,4.0,21.0
uniform,0,0,20,16,0.538333333333,0.386666666667,17.0,21.0,20,3,4.0,21.0
uniform,0,0,20,17,0,0,0,0,11,1,0,0
uniform,0,0,20,18,0,0,0,0,18,1,0,0
uniform,0,0,20,19,0.758333333333,0.775,16.0,20.0,29,2,4.0,20.0
randomForest,0,0,20,0,0.53,0.53,17.0,21.0,17,1,4.0,21.0
randomForest,0,0,20,1,0,0,0,0,28,1,0,0
randomForest,0,0,20,2,0,0,0,0,28,2,0,0
randomForest,0,0,20,3,0.81,0.81,17.0,21.0,10,2,4.0,21.0
randomForest,0,0,20,4,0,0,0,0,34,2,0,0
randomForest,0,0,20,5,0,0,0,0,11,1,0,0
randomForest,0,0,20,6,0.59,0.295,16.0,20.0,15,2,4.0,20.0
randomForest,0,0,20,7,0.251666666667,0.255,15.0,19.0,17,2,4.0,19.0
randomForest,0,0,20,8,0.13,0.13,17.0,21.0,20,2,4.0,21.0
randomForest,0,0,20,9,0.583333333333,0.566666666667,17.0,21.0,38,3,4.0,21.0
randomForest,0,0,20,10,0,0,0,0,20,2,0,0
randomForest,0,0,20,11,0.15,0.15,10.0,14.0,13,1,4.0,14.0
randomForest,0,0,20,12,0,0,0,0,7,2,0,0
randomForest,0,0,20,13,0.67,0.67,16.0,19.0,9,1,3.0,19.0
randomForest,0,0,20,14,0.52,0.52,7.0,10.0,6,1,3.0,10.0
randomForest,0,0,20,15,0.51,0.51,17.0,21.0,40,2,4.0,21.0
randomForest,0,0,20,16,0,0,0,0,20,3,0,0
randomForest,0,0,20,17,0,0,0,0,11,1,0,0
randomForest,0,0,20,18,0,0,0,0,18,1,0,0
randomForest,0,0,20,19,0.55,0.555,16.0,20.0,29,2,4.0,20.0
0.0,0.6,0.0,20,0,0,0,0,0,17,1,0,0
0.0,0.6,0.0,20,1,0,0,0,0,28,1,0,0
0.0,0.6,0.0,20,2,0,0,0,0,28,2,0,0
0.0,0.6,0.0,20,3,0,0,0,0,10,2,0,0
0.0,0.6,0.0,20,4,0,0,0,0,34,2,0,0
0.0,0.6,0.0,20,5,0,0,0,0,11,1,0,0
0.0,0.6,0.0,20,6,0,0,0,0,15,2,0,0
0.0,0.6,0.0,20,7,0,0,0,0,17,2,0,0
0.0,0.6,0.0,20,8,0,0,0,0,20,2,0,0
0.0,0.6,0.0,20,9,0,0,0,0,38,3,0,0
0.0,0.6,0.0,20,10,0,0,0,0,20,2,0,0
0.0,0.6,0.0,20,11,0,0,0,0,13,1,0,0
0.0,0.6,0.0,20,12,0,0,0,0,7,2,0,0
0.0,0.6,0.0,20,13,0,0,0,0,9,1,0,0
0.0,0.6,0.0,20,14,0,0,0,0,6,1,0,0
0.0,0.6,0.0,20,15,0,0,0,0,40,2,0,0
0.0,0.6,0.0,20,16,0,0,0,0,20,3,0,0
0.0,0.6,0.0,20,17,0,0,0,0,11,1,0,0
0.0,0.6,0.0,20,18,0,0,0,0,18,1,0,0
0.0,0.6,0.0,20,19,0,0,0,0,29,2,0,0
0.1,0.6,0.1,20,0,0.62,0.62,17.0,21.0,17,1,4.0,21.0
0.1,0.6,0.1,20,1,0,0,0,0,28,1,0,0
0.1,0.6,0.1,20,2,0,0,0,0,28,2,0,0
0.1,0.6,0.1,20,3,0,0,0,0,10,2,0,0
0.1,0.6,0.1,20,4,0.688333333333,0.69,17.0,21.0,34,2,4.0,21.0
0.1,0.6,0.1,20,5,0,0,0,0,11,1,0,0
0.1,0.6,0.1,20,6,0,0,0,0,15,2,0,0
0.1,0.6,0.1,20,7,0.618333333333,0.62,15.0,19.0,17,2,4.0,19.0
0.1,0.6,0.1,20,8,0.665,0.665,17.0,21.0,20,2,4.0,21.0
0.1,0.6,0.1,20,9,0.768333333333,0.733333333333,17.0,21.0,38,3,4.0,21.0
0.1,0.6,0.1,20,10,0,0,0,0,20,2,0,0
0.1,0.6,0.1,20,11,0,0,0,0,13,1,0,0
0.1,0.6,0.1,20,12,0,0,0,0,7,2,0,0
0.1,0.6,0.1,20,13,0,0,0,0,9,1,0,0
0.1,0.6,0.1,20,14,0.52,0.52,7.0,10.0,6,1,3.0,10.0
0.1,0.6,0.1,20,15,0.54,0.54,17.0,21.0,40,2,4.0,21.0
0.1,0.6,0.1,20,16,0,0,0,0,20,3,0,0
0.1,0.6,0.1,20,17,0,0,0,0,11,1,0,0
0.1,0.6,0.1,20,18,0,0,0,0,18,1,0,0
0.1,0.6,0.1,20,19,0,0,0,0,29,2,0,0
0.2,0.6,0.2,20,0,0.41,0.41,17.0,21.0,17,1,4.0,21.0
0.2,0.6,0.2,20,1,0,0,0,0,28,1,0,0
0.2,0.6,0.2,20,2,0,0,0,0,28,2,0,0
0.2,0.6,0.2,20,3,0,0,0,0,10,2,0,0
0.2,0.6,0.2,20,4,0.363333333333,0.37,17.0,21.0,34,2,4.0,21.0
0.2,0.6,0.2,20,5,0,0,0,0,11,1,0,0
0.2,0.6,0.2,20,6,0.63,0.315,16.0,20.0,15,2,4.0,20.0
0.2,0.6,0.2,20,7,0.505,0.51,15.0,19.0,17,2,4.0,19.0
0.2,0.6,0.2,20,8,0.565,0.565,17.0,21.0,20,2,4.0,21.0
0.2,0.6,0.2,20,9,0.626666666667,0.586666666667,17.0,21.0,38,3,4.0,21.0
0.2,0.6,0.2,20,10,0,0,0,0,20,2,0,0
0.2,0.6,0.2,20,11,0.66,0.66,10.0,14.0,13,1,4.0,14.0
0.2,0.6,0.2,20,12,0,0,0,0,7,2,0,0
0.2,0.6,0.2,20,13,0,0,0,0,9,1,0,0
0.2,0.6,0.2,20,14,0.36,0.36,7.0,10.0,6,1,3.0,10.0
0.2,0.6,0.2,20,15,0.45,0.45,17.0,21.0,40,2,4.0,21.0
0.2,0.6,0.2,20,16,0,0,0,0,20,3,0,0
0.2,0.6,0.2,20,17,0,0,0,0,11,1,0,0
0.2,0.6,0.2,20,18,0,0,0,0,18,1,0,0
0.2,0.6,0.2,20,19,0,0,0,0,29,2,0,0
uniform,0,0,30,0,0.27,0.27,23.0,27.0,24,1,4.0,27.0
uniform,0,0,30,1,0,0,0,0,33,1,0,0
uniform,0,0,30,2,0,0,0,0,30,2,0,0
uniform,0,0,30,3,0.731666666667,0.656666666667,27.0,31.0,13,3,4.0,31.0
uniform,0,0,30,4,0,0,0,0,38,2,0,0
uniform,0,0,30,5,0,0,0,0,11,1,0,0
uniform,0,0,30,6,0.65,0.446666666667,27.0,31.0,29,3,4.0,31.0
uniform,0,0,30,7,0.255,0.17,27.0,31.0,31,3,4.0,31.0
uniform,0,0,30,8,0.45,0.45,27.0,31.0,26,2,4.0,31.0
uniform,0,0,30,9,0,0,0,0,47,3,0,0
uniform,0,0,30,10,0,0,0,0,32,3,0,0
uniform,0,0,30,11,0.52,0.52,10.0,14.0,13,1,4.0,14.0
uniform,0,0,30,12,0,0,0,0,14,3,0,0
uniform,0,0,30,13,0.365,0.365,24.0,28.0,17,2,4.0,28.0
uniform,0,0,30,14,0.32,0.32,27.0,31.0,15,1,4.0,31.0
uniform,0,0,30,15,0.235,0.235,27.0,31.0,54,2,4.0,31.0
uniform,0,0,30,16,0,0,0,0,22,3,0,0
uniform,0,0,30,17,0.66,0.66,22.0,26.0,16,1,4.0,26.0
uniform,0,0,30,18,0,0,0,0,24,1,0,0
uniform,0,0,30,19,0,0,0,0,54,3,0,0
randomForest,0,0,30,0,0.38,0.38,23.0,27.0,24,1,4.0,27.0
randomForest,0,0,30,1,0,0,0,0,33,1,0,0
randomForest,0,0,30,2,0,0,0,0,30,2,0,0
randomForest,0,0,30,3,0,0,0,0,13,3,0,0
randomForest,0,0,30,4,0,0,0,0,38,2,0,0
randomForest,0,0,30,5,0,0,0,0,11,1,0,0
randomForest,0,0,30,6,0.618333333333,0.466666666667,27.0,31.0,29,3,4.0,31.0
randomForest,0,0,30,7,0,0,0,0,31,3,0,0
randomForest,0,0,30,8,0.055,0.055,27.0,31.0,26,2,4.0,31.0
randomForest,0,0,30,9,0.621666666667,0.61,27.0,31.0,47,3,4.0,31.0
randomForest,0,0,30,10,0,0,0,0,32,3,0,0
randomForest,0,0,30,11,0.15,0.15,10.0,14.0,13,1,4.0,14.0
randomForest,0,0,30,12,0,0,0,0,14,3,0,0
randomForest,0,0,30,13,0,0,0,0,17,2,0,0
randomForest,0,0,30,14,0.28,0.28,27.0,31.0,15,1,4.0,31.0
randomForest,0,0,30,15,0.475,0.475,27.0,31.0,54,2,4.0,31.0
randomForest,0,0,30,16,0,0,0,0,22,3,0,0
randomForest,0,0,30,17,0,0,0,0,16,1,0,0
randomForest,0,0,30,18,0,0,0,0,24,1,0,0
randomForest,0,0,30,19,0.546666666667,0.543333333333,27.0,31.0,54,3,4.0,31.0
0.0,0.6,0.0,30,0,0,0,0,0,24,1,0,0
0.0,0.6,0.0,30,1,0,0,0,0,33,1,0,0
0.0,0.6,0.0,30,2,0,0,0,0,30,2,0,0
0.0,0.6,0.0,30,3,0,0,0,0,13,3,0,0
0.0,0.6,0.0,30,4,0,0,0,0,38,2,0,0
0.0,0.6,0.0,30,5,0,0,0,0,11,1,0,0
0.0,0.6,0.0,30,6,0,0,0,0,29,3,0,0
